course_code,course_id,course_name,faculty,school,,keywords,,,,,,#VALUE!,,overview
ACCT2511,ACCT2511Undergraduate,Financial Accounting Fundamentals,UNSW Business School,"School of Acctng, Audit & Tax",,"financial,accounting,fundamentals,fina,management",,,,,,Course Link,,"Expand your foundational literacy in accounting, the language of business. This course helps you to build a firm grounding in financial accounting principles and methods. Understanding how accounting works is vital for effectively communicating business performance, and is your window to understanding financial drivers of business success. To this end, you will learn the basics of recording, summarizing, and reporting financial transactions, preparing financial statements, and analyzing financial information to make informed business decisions."
ACCT2522,ACCT2522Undergraduate,Management Accounting for Decision Analysis,UNSW Business School,"School of Acctng, Audit & Tax",,"management,accounting,decision,analysis,mana",,,,,,Course Link,,"Become an indispensable advisor to contemporary organisations and create value for both customers and shareholders. This course will equip you with the knowledge and analytical skills to become a trusted business partner and effective decision maker. You will learn to improve business processes, enhance managerial decision making and develop critical thinking and communication skills. You will be introduced to a range of management accounting tools and techniques and learn to apply them critically and creatively in a variety of business contexts."
ACCT2542,ACCT2542Undergraduate,Corporate Financial Reporting and Analysis,UNSW Business School,"School of Acctng, Audit & Tax",,"corporate,financial,reporting,analysis,corp",,,,,,Course Link,,"This course covers financial accounting at an advanced level, with a focus on business combination accounting, group accounting (subsidiaries and joint arrangements), and foreign currency accounting (translation). The topics of this course are useful for understanding mergers and acquisitions valuation, financial statement analysis, and financial valuation methods. Financial analysts, financial statement preparers, and merger and acquisition specialists are examples of professions that use this knowledge taught in this course. Students develop their judgement, and critical-thinking skills through study of complex financial accounting issues. The topics provide coverage to develop skills to understand and know the areas that involve professional judgement in financial statement preparation, annual report analysis and insights into potential impacts of contemporary accounting uses affecting the business community under consideration by accounting standard setters."
ACCT2562,ACCT2562Undergraduate,ESG: Current Developments for Sustainable Business,UNSW Business School,"School of Acctng, Audit & Tax",,"esg,developments,sustainable,business,management",,,,,,Course Link,,"Discover how companies are evolving to meet today's dynamic Environmental, Social, and Governance (ESG) demands. This course takes you on a deep dive into the evolving world of business reporting, where you'll uncover how emerging reporting frameworks are enabling companies to interpret and communicate their social, environmental, and economic performance. By the end of the course, you'll master the art of identifying material ESG risks and learn to effectively report these risks to stakeholders. You'll also gain the expertise to craft a persuasive business case that showcases how addressing ESG risks can drive long-term sustainability and substantial value creation."
ACCT3563,ACCT3563Undergraduate,Issues in Financial Reporting and Analysis,UNSW Business School,"School of Acctng, Audit & Tax",,"issues,financial,reporting,analysis,issu",,,,,,Course Link,,"Aspiring to become a CFO, audit partner, professional investor, or accredited accountant? You'll need a deep understanding of the complex topics and significant issues influencing corporate reporting outcomes. This course covers critical reporting choices financial leaders make and the ethical, theoretical, market, and other influences that bear on these choices. You will also learn how to account for complex matters such as financial instruments and leases, along with how accounting information affects share prices. Mastering the skills from this course will enable you analyse and positively influence accounting decisions that shape a firm's bottom line."
ACCT3583,ACCT3583Undergraduate,Strategic Value Management,UNSW Business School,"School of Acctng, Audit & Tax",,"strategic,value,management,stra,finance",,,,,,Course Link,,"Learn to co-create value for multiple stakeholders in contemporary organisations. In this course, you will learn how to collect, analyse, and use both financial and non-financial information in order to develop, implement and assess the success of the strategy, while simultaneously balancing the needs of stakeholders including shareholders, suppliers, community and environment, and employees. You will also learn how strategies are developed and evaluated given the external environment an organisation operates in and the resources and capabilities they have. You will develop your skills in a team environment by researching an organisation's strategy, writing a report, and presenting persuasive recommendations to stakeholders."
ACCT3601,ACCT3601Undergraduate,Global Financial Reporting and Analysis,UNSW Business School,"School of Acctng, Audit & Tax",,"global,financial,reporting,analysis,glob",,,,,,Course Link,,"Do you want to work for Goldmans in New York, Tencent in Shanghai or Bain in London? Or run a business with international operations? Planning on having investments with international diversification? In each case you will come across financial reports prepared under different reporting environments. This course will help you understand why there are international differences in financial reporting rules and regulations, and what the key differences are. Most importantly, you will see why these differences matter when you are assessing accounting quality, undertaking valuation tasks, or analysing credit quality. Real-world examples and international databases are key learning tools in this course."
ACCT3610,ACCT3610Undergraduate,Business Analysis and Valuation,UNSW Business School,"School of Acctng, Audit & Tax",,"business,analysis,valuation,busi,management",,,,,,Course Link,,"This course equips you with essential skills to analyse and value firms using information primarily sourced from company financial reports. For students aspiring to careers in consulting, investment banking, or entrepreneurship, this course builds your ability to examine financial statements and disclosures for insights into the core strategic attributes and value drivers of a company. You will learn to use techniques for structured analysis of profitability, growth and develop forecasts of earnings and cashflows. Theoretical foundations are blended with hands-on application through real-world case studies and practical exercises using financial databases. By the end of the course, you will be well-equipped to make informed equity (share) valuation and credit assessment, and debt valuation decisions."
ACCT3625,ACCT3625Undergraduate,ESG Reporting and Enterprise Value Creation,UNSW Business School,"School of Acctng, Audit & Tax",,"esg,reporting,enterprise,value,creation",,,,,,Course Link,,"Are you interested in learning about how business leaders embed responsible decision making throughout an organisation? How they lead managers, staff and others across their value chain to not only deliver financial outcomes, but also sustainable business outcomes that deliver positive returns over time to all key stakeholders, including society and the environment.  Do you want to work in investment banking, as an executive at a major corporate, join a consulting firm or start your own business? Do you have a passion for both business and sustainability and having a positive impact on society and the environment? This course will help you understand how business leaders are driving change across their organisations to ensure all key decisions more effectively consider the broader impact of potential outcomes on all important resources and relationships before taking action to deliver the most sustainable outcomes over time. Most importantly, through real world examples and worked case studies, you will be asked questions to assist you in making more responsible business decisions. You will also learn about the importance of intangibles to business value and understand how these together with ESG matters, are being identified, managed and reported on by quality 21st century organisations."
ACCT3672,ACCT3672Undergraduate,Accounting Analytics for Business Decision Making,UNSW Business School,"School of Acctng, Audit & Tax",,"accounting,analytics,business,decision,acco",,,,,,Course Link,,"Analytics combined with accounting data is at the heart of most forward-looking corporate decisions. Investment bankers, equity research analysts, portfolio managers, credit analysts, lenders, and capital market regulators rely on accounting data to identify investment opportunities, assess business risks, and negotiate business contracts. This course will help you gain basic understanding of how professionals use analytics tools to leverage accounting data to produce significant insights and make meaningful predictions. Most importantly, you will learn how accounting analytics are applied in real-world business contexts, such as quantitative investing, financial fraud prediction, earnings forecasting, etc. You will use numerous real-world case studies in lectures, tutorials, and assessments to reinforce your learnings"
ACCT3708,ACCT3708Undergraduate,Auditing and Assurance Services,UNSW Business School,"School of Acctng, Audit & Tax",,"auditing,assurance,services,audi,management",,,,,,Course Link,,"Assurance is a cornerstone of the modern international economy as it allows investors and other stakeholders to have faith in the reliability of financial reports and other information produced by companies. Auditing is the systematic process by which assurance is provided to stakeholders. In this subject you will learn how to audit the financial statements of an Australian company following the rules set down in the Corporations Act (2001) and Australian Auditing Standards. This will include assessing business risk, evaluating internal controls, collecting sufficient appropriate audit evidence, forming an audit opinion, and expressing this opinion in a written audit report. In this subject, you will also examine auditing and assurance in their broader social context through an analysis of the economic benefits of assurance, ethical behaviour and legal obligations of auditors, fraud risks and responses, and assurance of sustainability reports."
ACCT3861,ACCT3861Undergraduate,Reporting for Climate Change and Sustainability,UNSW Business School,"School of Acctng, Audit & Tax",,"reporting,climate,change,sustainability,repo",,,,,,Course Link,,"Climate change and sustainability are key challenges for our society and economy today and these areas provide great opportunities for future employment.  Governments and non-governmental organisations around the world have engaged in various climate change mitigation and adaptation policy initiatives to ensure survival and prosperity of current and future generations. This course explores issues related to climate change and sustainability and the implications for businesses that will lead to better business reporting. Insights on established and proposed policy frameworks will provide students with an overview of the trends in sustainability reporting and the ability to start preparing a sustainability report in their current or future employment. Impact of the recent establishment of the International Sustainability Standards Board (ISSB) by the IFRS Foundation will also be covered particularly the release of sustainability standards and how Australia is responding to this generational shift in business reporting. Finally, the credibility enhancing mechanisms used to increase trust in sustainability reports will also be discussed and in particular how this may deter organisations from greenwashing."
